Anno_Mese;Amount_TOT;Company;Company_name;c_AmountCluster;ABS_Amount
2017 -  1;49497,9;CO/G046;Marelli Suspen.Systems;P;49498
2017 -  2;793296,37;CO/G046;Marelli Suspen.Systems;P;793296
2017 -  3;758948,97;CO/G046;Marelli Suspen.Systems;P;758949
2017 -  4;915776,84;CO/G046;Marelli Suspen.Systems;P;915777
2017 -  5;627575,78;CO/G046;Marelli Suspen.Systems;P;627576
2017 -  6;775899,49;CO/G046;Marelli Suspen.Systems;P;775899
2017 -  7;594377,6;CO/G046;Marelli Suspen.Systems;P;594378
2017 -  8;146711,06;CO/G046;Marelli Suspen.Systems;P;146711
2017 -  9;894691,31;CO/G046;Marelli Suspen.Systems;P;894691
2017 - 10;653265,55;CO/G046;Marelli Suspen.Systems;P;653266
2017 - 11;598927,11;CO/G046;Marelli Suspen.Systems;P;598927
2017 - 12;733014,92;CO/G046;Marelli Suspen.Systems;P;733015
2018 -  1;4747,89;CO/G046;Marelli Suspen.Systems;P;4748
2018 -  2;607308,67;CO/G046;Marelli Suspen.Systems;P;607309
2018 -  3;637225,46;CO/G046;Marelli Suspen.Systems;P;637225
2018 -  4;790445,38;CO/G046;Marelli Suspen.Systems;P;790445
2018 -  5;503747,35;CO/G046;Marelli Suspen.Systems;P;503747
2018 -  6;818671,24;CO/G046;Marelli Suspen.Systems;P;818671
2018 -  7;654638,65;CO/G046;Marelli Suspen.Systems;P;654639
2018 -  8;529681,71;CO/G046;Marelli Suspen.Systems;P;529682
2018 -  9;594176,17;CO/G046;Marelli Suspen.Systems;P;594176
2018 - 10;650338,61;CO/G046;Marelli Suspen.Systems;P;650339
2018 - 11;463234,64;CO/G046;Marelli Suspen.Systems;P;463235
2018 - 12;678652,99;CO/G046;Marelli Suspen.Systems;P;678653
2019 -  1;434,84;CO/G046;Marelli Suspen.Systems;P;435
2019 -  2;348310,55;CO/G046;Marelli Suspen.Systems;P;348311
2019 -  3;1208872,08;CO/G046;Marelli Suspen.Systems;P;1208872
2019 -  4;666717,65;CO/G046;Marelli Suspen.Systems;P;666718
2019 -  5;196051,19;CO/G046;Marelli Suspen.Systems;P;196051
2019 -  6;991291,08;CO/G046;Marelli Suspen.Systems;P;991291
2019 -  7;1295056,14;CO/G046;Marelli Suspen.Systems;P;1295056
2019 -  8;740206,78;CO/G046;Marelli Suspen.Systems;P;740207
2019 -  9;1075227,83;CO/G046;Marelli Suspen.Systems;P;1075228
2019 - 10;92005,34;CO/G046;Marelli Suspen.Systems;P;92005
2019 - 11;2179431,99;CO/G046;Marelli Suspen.Systems;P;2179432
2019 - 12;1370018,32;CO/G046;Marelli Suspen.Systems;P;1370018
2020 -  1;21782,99;CO/G046;Marelli Suspen.Systems;P;21783
2020 -  2;1299719,79;CO/G046;Marelli Suspen.Systems;P;1299720
2020 -  3;18974,5;CO/G046;Marelli Suspen.Systems;P;18975
2017 -  1;-30,34;CO/G046;Marelli Suspen.Systems;N;30
2017 -  2;-27296,09;CO/G046;Marelli Suspen.Systems;N;27296
2017 -  3;-98259,05;CO/G046;Marelli Suspen.Systems;N;98259
2017 -  4;-10523,61;CO/G046;Marelli Suspen.Systems;N;10524
2017 -  5;-2452,04;CO/G046;Marelli Suspen.Systems;N;2452
2017 -  6;-12084,4;CO/G046;Marelli Suspen.Systems;N;12084
2017 -  7;-286,1;CO/G046;Marelli Suspen.Systems;N;286
2017 -  8;-15,91;CO/G046;Marelli Suspen.Systems;N;16
2017 -  9;-1533,6;CO/G046;Marelli Suspen.Systems;N;1534
2017 - 10;-7600,22;CO/G046;Marelli Suspen.Systems;N;7600
2017 - 11;-285;CO/G046;Marelli Suspen.Systems;N;285
2017 - 12;-8433,65;CO/G046;Marelli Suspen.Systems;N;8434
2018 -  1;-15630,02;CO/G046;Marelli Suspen.Systems;N;15630
2018 -  2;-6245,11;CO/G046;Marelli Suspen.Systems;N;6245
2018 -  3;-8163,04;CO/G046;Marelli Suspen.Systems;N;8163
2018 -  4;-27217,79;CO/G046;Marelli Suspen.Systems;N;27218
2018 -  5;-1842,32;CO/G046;Marelli Suspen.Systems;N;1842
2018 -  6;-50524,23;CO/G046;Marelli Suspen.Systems;N;50524
2018 -  7;-64371,81;CO/G046;Marelli Suspen.Systems;N;64372
2018 -  8;-8784,24;CO/G046;Marelli Suspen.Systems;N;8784
2018 -  9;-1936,97;CO/G046;Marelli Suspen.Systems;N;1937
2018 - 10;-7182,43;CO/G046;Marelli Suspen.Systems;N;7182
2018 - 11;-21002,56;CO/G046;Marelli Suspen.Systems;N;21003
2018 - 12;-14255,25;CO/G046;Marelli Suspen.Systems;N;14255
2019 -  2;-728,02;CO/G046;Marelli Suspen.Systems;N;728
2019 -  3;-21384,85;CO/G046;Marelli Suspen.Systems;N;21385
2019 -  4;-8582,1;CO/G046;Marelli Suspen.Systems;N;8582
2019 -  5;-13430,52;CO/G046;Marelli Suspen.Systems;N;13431
2019 -  6;-1507,79;CO/G046;Marelli Suspen.Systems;N;1508
2019 -  7;-111005,02;CO/G046;Marelli Suspen.Systems;N;111005
2019 -  8;-12046,2;CO/G046;Marelli Suspen.Systems;N;12046
2019 -  9;-1620,7;CO/G046;Marelli Suspen.Systems;N;1621
2019 - 10;-38215,68;CO/G046;Marelli Suspen.Systems;N;38216
2019 - 11;-9955,41;CO/G046;Marelli Suspen.Systems;N;9955
2019 - 12;-78930,78;CO/G046;Marelli Suspen.Systems;N;78931
2020 -  1;-20925,45;CO/G046;Marelli Suspen.Systems;N;20925
2020 -  2;-24477,15;CO/G046;Marelli Suspen.Systems;N;24477
2020 -  3;-95;CO/G046;Marelli Suspen.Systems;N;95
2017 -  1;49467,56;CO/G046;Marelli Suspen.Systems;S;49468
2017 -  2;766000,28;CO/G046;Marelli Suspen.Systems;S;766000
2017 -  3;660689,92;CO/G046;Marelli Suspen.Systems;S;660690
2017 -  4;905253,23;CO/G046;Marelli Suspen.Systems;S;905253
