Anno_Mese_G048;Amount_TOT_G048;Company_G048;Company_name_G048;c_AmountCluster_G048;ABS_Amount_G048
2017 -  1;134915,67;CO/G048;Marelli Europe S.p.A.;P;134916
2017 -  2;2384029,09;CO/G048;Marelli Europe S.p.A.;P;2384029
2017 -  3;2734520,13;CO/G048;Marelli Europe S.p.A.;P;2734520
2017 -  4;2909853,29;CO/G048;Marelli Europe S.p.A.;P;2909853
2017 -  5;3822772,12;CO/G048;Marelli Europe S.p.A.;P;3822772
2017 -  6;2875035,04;CO/G048;Marelli Europe S.p.A.;P;2875035
2017 -  7;2880342,81;CO/G048;Marelli Europe S.p.A.;P;2880343
2017 -  8;2224932,16;CO/G048;Marelli Europe S.p.A.;P;2224932
2017 -  9;3640643,71;CO/G048;Marelli Europe S.p.A.;P;3640644
2017 - 10;3175500,49;CO/G048;Marelli Europe S.p.A.;P;3175500
2017 - 11;2698005,71;CO/G048;Marelli Europe S.p.A.;P;2698006
2017 - 12;3916977,97;CO/G048;Marelli Europe S.p.A.;P;3916978
2018 -  1;78335,97;CO/G048;Marelli Europe S.p.A.;P;78336
2018 -  2;1935448,62;CO/G048;Marelli Europe S.p.A.;P;1935449
2018 -  3;2104451,78;CO/G048;Marelli Europe S.p.A.;P;2104452
2018 -  4;2622815,71;CO/G048;Marelli Europe S.p.A.;P;2622816
2018 -  5;6265149,56;CO/G048;Marelli Europe S.p.A.;P;6265150
2018 -  6;2529322,76;CO/G048;Marelli Europe S.p.A.;P;2529323
2018 -  7;2771566,39;CO/G048;Marelli Europe S.p.A.;P;2771566
2018 -  8;2274427,39;CO/G048;Marelli Europe S.p.A.;P;2274427
2018 -  9;2371847,66;CO/G048;Marelli Europe S.p.A.;P;2371848
2018 - 10;3382252,84;CO/G048;Marelli Europe S.p.A.;P;3382253
2018 - 11;3251786,62;CO/G048;Marelli Europe S.p.A.;P;3251787
2018 - 12;4479819,16;CO/G048;Marelli Europe S.p.A.;P;4479819
2019 -  1;835913,03;CO/G048;Marelli Europe S.p.A.;P;835913
2019 -  2;1130289,1;CO/G048;Marelli Europe S.p.A.;P;1130289
2019 -  3;4677838,74;CO/G048;Marelli Europe S.p.A.;P;4677839
2019 -  4;3833447,76;CO/G048;Marelli Europe S.p.A.;P;3833448
2019 -  5;2350301,49;CO/G048;Marelli Europe S.p.A.;P;2350301
2019 -  6;2459652,33;CO/G048;Marelli Europe S.p.A.;P;2459652
2019 -  7;8849601,42;CO/G048;Marelli Europe S.p.A.;P;8849601
2019 -  8;1292883,51;CO/G048;Marelli Europe S.p.A.;P;1292884
2019 -  9;6317039,93;CO/G048;Marelli Europe S.p.A.;P;6317040
2019 - 10;6317039,06;CO/G048;Marelli Europe S.p.A.;P;6317039
2019 - 11;4641333,25;CO/G048;Marelli Europe S.p.A.;P;4641333
2019 - 12;4717557,24;CO/G048;Marelli Europe S.p.A.;P;4717557
2020 -  1;979473,87;CO/G048;Marelli Europe S.p.A.;P;979474
2020 -  2;4592740,65;CO/G048;Marelli Europe S.p.A.;P;4592741
2020 -  3;767332,52;CO/G048;Marelli Europe S.p.A.;P;767333
2017 -  1;-1351,49;CO/G048;Marelli Europe S.p.A.;N;1351
2017 -  2;-31286,77;CO/G048;Marelli Europe S.p.A.;N;31287
2017 -  3;-158676,73;CO/G048;Marelli Europe S.p.A.;N;158677
2017 -  4;-333444,14;CO/G048;Marelli Europe S.p.A.;N;333444
2017 -  5;-170069,51;CO/G048;Marelli Europe S.p.A.;N;170070
2017 -  6;-166363,33;CO/G048;Marelli Europe S.p.A.;N;166363
2017 -  7;-124113,01;CO/G048;Marelli Europe S.p.A.;N;124113
2017 -  8;-98146,51;CO/G048;Marelli Europe S.p.A.;N;98147
2017 -  9;-55868,19;CO/G048;Marelli Europe S.p.A.;N;55868
2017 - 10;-585508,94;CO/G048;Marelli Europe S.p.A.;N;585509
