Anno_Mese;Amount_TOT;Company;Company_name;c_AmountCluster;ABS_Amount
2017 -  1;832,97;CO/G351;Marelli Autom. Lightin;P;833
2017 -  2;25705,01;CO/G351;Marelli Autom. Lightin;P;25705
2017 -  3;14565,86;CO/G351;Marelli Autom. Lightin;P;14566
2017 -  4;26684,92;CO/G351;Marelli Autom. Lightin;P;26685
2017 -  5;105593,72;CO/G351;Marelli Autom. Lightin;P;105594
2017 -  6;425538,39;CO/G351;Marelli Autom. Lightin;P;425538
2017 -  7;90887,88;CO/G351;Marelli Autom. Lightin;P;90888
2017 -  8;75687,17;CO/G351;Marelli Autom. Lightin;P;75687
2017 -  9;19745,32;CO/G351;Marelli Autom. Lightin;P;19745
2017 - 10;74153,85;CO/G351;Marelli Autom. Lightin;P;74154
2017 - 11;21710,3;CO/G351;Marelli Autom. Lightin;P;21710
2017 - 12;5772,55;CO/G351;Marelli Autom. Lightin;P;5773
2018 -  1;3621,25;CO/G351;Marelli Autom. Lightin;P;3621
2018 -  2;4089,88;CO/G351;Marelli Autom. Lightin;P;4090
2018 -  3;69419,8;CO/G351;Marelli Autom. Lightin;P;69420
2018 -  4;11328,09;CO/G351;Marelli Autom. Lightin;P;11328
2018 -  5;13171,15;CO/G351;Marelli Autom. Lightin;P;13171
2018 -  6;24343,29;CO/G351;Marelli Autom. Lightin;P;24343
2018 -  7;22473,39;CO/G351;Marelli Autom. Lightin;P;22473
2018 -  8;18123,43;CO/G351;Marelli Autom. Lightin;P;18123
2018 -  9;105740,31;CO/G351;Marelli Autom. Lightin;P;105740
2018 - 10;15068,5;CO/G351;Marelli Autom. Lightin;P;15069
2018 - 11;15594,69;CO/G351;Marelli Autom. Lightin;P;15595
2018 - 12;14561,01;CO/G351;Marelli Autom. Lightin;P;14561
2019 -  1;387,71;CO/G351;Marelli Autom. Lightin;P;388
2019 -  2;3605,35;CO/G351;Marelli Autom. Lightin;P;3605
2019 -  3;51381,54;CO/G351;Marelli Autom. Lightin;P;51382
2019 -  4;9977,89;CO/G351;Marelli Autom. Lightin;P;9978
2019 -  5;6542,68;CO/G351;Marelli Autom. Lightin;P;6543
2019 -  6;121781,74;CO/G351;Marelli Autom. Lightin;P;121782
2019 -  7;323250,56;CO/G351;Marelli Autom. Lightin;P;323251
2019 -  8;3365,95;CO/G351;Marelli Autom. Lightin;P;3366
2019 -  9;36407,07;CO/G351;Marelli Autom. Lightin;P;36407
2019 - 10;18262,87;CO/G351;Marelli Autom. Lightin;P;18263
2019 - 11;14868,93;CO/G351;Marelli Autom. Lightin;P;14869
2019 - 12;62095,06;CO/G351;Marelli Autom. Lightin;P;62095
2020 -  1;2842,96;CO/G351;Marelli Autom. Lightin;P;2843
2020 -  2;6105,69;CO/G351;Marelli Autom. Lightin;P;6106
2020 -  3;5485,47;CO/G351;Marelli Autom. Lightin;P;5485
2017 -  2;-54394,13;CO/G351;Marelli Autom. Lightin;N;54394
2017 -  3;-2313,26;CO/G351;Marelli Autom. Lightin;N;2313
2017 -  4;-22665,01;CO/G351;Marelli Autom. Lightin;N;22665
2017 -  5;-205353,66;CO/G351;Marelli Autom. Lightin;N;205354
2017 -  6;-403401,27;CO/G351;Marelli Autom. Lightin;N;403401
2017 -  7;-358247,03;CO/G351;Marelli Autom. Lightin;N;358247
2017 -  8;-11896,88;CO/G351;Marelli Autom. Lightin;N;11897
2017 -  9;-9622,28;CO/G351;Marelli Autom. Lightin;N;9622
2017 - 10;-51931,47;CO/G351;Marelli Autom. Lightin;N;51931
2017 - 11;-31413,44;CO/G351;Marelli Autom. Lightin;N;31413
2017 - 12;-6880,88;CO/G351;Marelli Autom. Lightin;N;6881
2018 -  1;-112,93;CO/G351;Marelli Autom. Lightin;N;113
2018 -  2;-10837,2;CO/G351;Marelli Autom. Lightin;N;10837
2018 -  3;-175447,5;CO/G351;Marelli Autom. Lightin;N;175448
2018 -  4;-15092,31;CO/G351;Marelli Autom. Lightin;N;15092
2018 -  5;-19633,97;CO/G351;Marelli Autom. Lightin;N;19634
2018 -  6;-24941,19;CO/G351;Marelli Autom. Lightin;N;24941
2018 -  7;-11527,85;CO/G351;Marelli Autom. Lightin;N;11528
2018 -  8;-2803,7;CO/G351;Marelli Autom. Lightin;N;2804
2018 -  9;-15103,98;CO/G351;Marelli Autom. Lightin;N;15104
2018 - 10;-4529,16;CO/G351;Marelli Autom. Lightin;N;4529
2018 - 11;-13020,69;CO/G351;Marelli Autom. Lightin;N;13021
2018 - 12;-44653,09;CO/G351;Marelli Autom. Lightin;N;44653
2019 -  1;-387,92;CO/G351;Marelli Autom. Lightin;N;388
2019 -  2;-17,4;CO/G351;Marelli Autom. Lightin;N;17
2019 -  3;-95684,98;CO/G351;Marelli Autom. Lightin;N;95685
2019 -  4;-56083,72;CO/G351;Marelli Autom. Lightin;N;56084
2019 -  5;-10913,37;CO/G351;Marelli Autom. Lightin;N;10913
2019 -  6;-133712,88;CO/G351;Marelli Autom. Lightin;N;133713
2019 -  7;-6956,85;CO/G351;Marelli Autom. Lightin;N;6957
2019 -  8;-2243,54;CO/G351;Marelli Autom. Lightin;N;2244
2019 -  9;-6252,23;CO/G351;Marelli Autom. Lightin;N;6252
2019 - 10;-49201,49;CO/G351;Marelli Autom. Lightin;N;49201
2019 - 11;-12017,5;CO/G351;Marelli Autom. Lightin;N;12018
2019 - 12;-161688,43;CO/G351;Marelli Autom. Lightin;N;161688
2020 -  2;-8703,66;CO/G351;Marelli Autom. Lightin;N;8704
2020 -  3;-5035,15;CO/G351;Marelli Autom. Lightin;N;5035
2017 -  1;832,97;CO/G351;Marelli Autom. Lightin;S;833
2017 -  2;-28689,12;CO/G351;Marelli Autom. Lightin;S;-28689
2017 -  3;12252,6;CO/G351;Marelli Autom. Lightin;S;12253
2017 -  4;4019,91;CO/G351;Marelli Autom. Lightin;S;4020
2017 -  5;-99759,94;CO/G351;Marelli Autom. Lightin;S;-99760
2017 -  6;22137,12;CO/G351;Marelli Autom. Lightin;S;22137
2017 -  7;-267359,15;CO/G351;Marelli Autom. Lightin;S;-267359
2017 -  8;63790,29;CO/G351;Marelli Autom. Lightin;S;63790
2017 -  9;10123,04;CO/G351;Marelli Autom. Lightin;S;10123
2017 - 10;22222,38;CO/G351;Marelli Autom. Lightin;S;22222
2017 - 11;-9703,14;CO/G351;Marelli Autom. Lightin;S;-9703
2017 - 12;-1108,33;CO/G351;Marelli Autom. Lightin;S;-1108
2018 -  1;3508,32;CO/G351;Marelli Autom. Lightin;S;3508
2018 -  2;-6747,32;CO/G351;Marelli Autom. Lightin;S;-6747
2018 -  3;-106027,7;CO/G351;Marelli Autom. Lightin;S;-106028
2018 -  4;-3764,22;CO/G351;Marelli Autom. Lightin;S;-3764
2018 -  5;-6462,82;CO/G351;Marelli Autom. Lightin;S;-6463
2018 -  6;-597,9;CO/G351;Marelli Autom. Lightin;S;-598
2018 -  7;10945,54;CO/G351;Marelli Autom. Lightin;S;10946
2018 -  8;15319,73;CO/G351;Marelli Autom. Lightin;S;15320
2018 -  9;90636,33;CO/G351;Marelli Autom. Lightin;S;90636
2018 - 10;10539,34;CO/G351;Marelli Autom. Lightin;S;10539
2018 - 11;2574;CO/G351;Marelli Autom. Lightin;S;2574
2018 - 12;-30092,08;CO/G351;Marelli Autom. Lightin;S;-30092
2019 -  1;-0,21;CO/G351;Marelli Autom. Lightin;S;0
2019 -  2;3587,95;CO/G351;Marelli Autom. Lightin;S;3588
2019 -  3;-44303,44;CO/G351;Marelli Autom. Lightin;S;-44303
2019 -  4;-46105,83;CO/G351;Marelli Autom. Lightin;S;-46106
2019 -  5;-4370,69;CO/G351;Marelli Autom. Lightin;S;-4371
2019 -  6;-11931,14;CO/G351;Marelli Autom. Lightin;S;-11931
2019 -  7;316293,71;CO/G351;Marelli Autom. Lightin;S;316294
2019 -  8;1122,41;CO/G351;Marelli Autom. Lightin;S;1122
2019 -  9;30154,84;CO/G351;Marelli Autom. Lightin;S;30155
2019 - 10;-30938,62;CO/G351;Marelli Autom. Lightin;S;-30939
2019 - 11;2851,43;CO/G351;Marelli Autom. Lightin;S;2851
2019 - 12;-99593,37;CO/G351;Marelli Autom. Lightin;S;-99593
2020 -  1;2842,96;CO/G351;Marelli Autom. Lightin;S;2843
2020 -  2;-2597,97;CO/G351;Marelli Autom. Lightin;S;-2598
2020 -  3;450,32;CO/G351;Marelli Autom. Lightin;S;450
